signal_date,ticker,foreign_5d,inst_5d,score,contraction_ratio,entry_price,status,exit_price,exit_date,return_pct,hold_days
2026-02-10,051600,89499,20241,76.8,0.378,58300.0,CLOSED,58300.0,2026-02-15,0.0,5
2026-02-10,053690,80721,5216,65.9,0.753,19580.0,CLOSED,20250.0,2026-02-15,3.42,5
2026-02-10,054210,301212,1032,78.6,0.657,10950.0,CLOSED,10720.0,2026-02-15,-2.1,5
2026-02-10,056080,311674,112548,88.06000000000003,0.391,38250.0,CLOSED,37750.0,2026-02-15,-1.31,5
2026-02-10,060250,646004,-20292,82.6,0.378,22200.0,CLOSED,20850.0,2026-02-15,-6.08,5
2026-02-10,060280,110059,217448,84.1,0.613,19570.0,CLOSED,17500.0,2026-02-12,-10.58,2
2026-02-10,064260,884875,-191354,70.8,0.642,9100.0,CLOSED,8440.0,2026-02-13,-7.25,3
2026-02-10,064290,112602,51720,71.6,0.659,18180.0,CLOSED,17120.0,2026-02-15,-5.83,5
2026-02-10,066310,56938,1,69.4,0.552,8370.0,CLOSED,8200.0,2026-02-15,-2.03,5
2026-02-10,066570,922124,-157139,78.5,0.359,102400.0,CLOSED,117200.0,2026-02-15,14.45,5
2026-02-10,069920,159563,0,61.8,0.699,668.0,CLOSED,714.0,2026-02-15,6.89,5
2026-02-10,071090,106147,1,73.7,0.312,3720.0,CLOSED,3765.0,2026-02-15,1.21,5
2026-02-10,082210,84224,0,62.3,0.472,1998.0,CLOSED,2005.0,2026-02-15,0.35,5
2026-02-10,085670,105353,-2758,76.8,0.703,6720.0,CLOSED,6150.0,2026-02-13,-8.48,3
2026-02-10,090080,81945,8,70.7,0.648,950.0,CLOSED,939.0,2026-02-15,-1.16,5
2026-02-10,091580,59999,-10342,70.4,0.511,15600.0,CLOSED,16580.0,2026-02-15,6.28,5
2026-02-10,094820,172085,6052,74.8,0.669,16820.0,CLOSED,17290.0,2026-02-15,2.79,5
2026-02-10,095500,169430,39016,76.5,0.799,12030.0,CLOSED,11220.0,2026-02-15,-6.73,5
2026-02-10,095910,155459,0,65.5,0.594,1425.0,CLOSED,1440.0,2026-02-15,1.05,5
2026-02-10,103840,92077,0,60.8,0.721,3070.0,CLOSED,3130.0,2026-02-15,1.95,5
2026-02-10,104040,158285,0,65.0,0.474,746.0,CLOSED,732.0,2026-02-15,-1.88,5
2026-02-10,105550,396804,-548123,77.2,0.777,1524.0,CLOSED,1484.0,2026-02-15,-2.62,5
2026-02-10,118990,129271,-1084,76.7,0.756,9730.0,CLOSED,9770.0,2026-02-15,0.41,5
2026-02-10,129920,109349,3830,74.7,0.418,5500.0,CLOSED,5420.0,2026-02-15,-1.45,5
2026-02-10,148150,217435,17,66.8,0.772,5120.0,CLOSED,5020.0,2026-02-15,-1.95,5
2026-02-10,148780,96847,0,62.2,0.535,1637.0,CLOSED,1490.0,2026-02-13,-8.98,3
2026-02-10,163730,100458,-1242,75.4,0.681,12130.0,CLOSED,11940.0,2026-02-15,-1.57,5
2026-02-10,166090,55956,-16646,75.1,0.743,64200.0,CLOSED,59100.0,2026-02-13,-7.94,3
2026-02-10,187270,66094,1,74.6,0.535,3935.0,CLOSED,3885.0,2026-02-15,-1.27,5
2026-02-10,201490,503230,2345,69.8,0.552,4220.0,CLOSED,3980.0,2026-02-15,-5.69,5
